IG_USER_ID,USER_ID,USER_ID_INT,IG_USER_NAME,F_MEDIA_NOW,F_FOLLOWERS_NOW,F_FOLLOWING_NOW,F_ISPRIVATE_NOW,F_IS_BUSINESS,F_IS_MALE,F_IS_FEMALE
3C03D796-15E3-E511-827A-6451063D545C,1000046583  ,1000046583,notonlywordss,966,1839,1250,0,1,0,0
1912D796-15E3-E511-827A-6451063D545C,1001343249  ,1001343249,walter_610,57,142,91,0,0,0,1
19D6BE97-15E3-E511-827A-6451063D545C,1008527849  ,1008527849,maximdjstem,517,5851,788,0,1,0,0
2CEEBE97-15E3-E511-827A-6451063D545C,1010609470  ,1010609470,abdul_akhmedpashaev,136,6271,783,0,1,0,0
02C61E98-15E3-E511-827A-6451063D545C,1016110402  ,1016110402,ser_akm,237,303,632,0,0,1,0
D3C81E98-15E3-E511-827A-6451063D545C,1016384906  ,1016384906,_0228557_,174,405,716,0,1,0,0
3D0A9098-15E3-E511-827A-6451063D545C,10306351    ,10306351,__kater__,1538,272,65,0,0,0,1
FB4EA498-15E3-E511-827A-6451063D545C,1034690560  ,1034690560,dariaairad1994,169,247,143,0,0,0,1
6FA6B698-15E3-E511-827A-6451063D545C,1035670145  ,1035670145,kruchiloules,97,120,134,0,0,0,1
0DA8B698-15E3-E511-827A-6451063D545C,1035874380  ,1035874380,aminka_salavatova,55,384,156,0,0,0,1
83704999-15E3-E511-827A-6451063D545C,1057778363  ,1057778363,minthandbag,473,4343,2989,0,1,0,0
34909D9D-15E3-E511-827A-6451063D545C,1253473759  ,1253473759,sunsecrets,214,2823,4626,0,1,0,0
8B918A9F-15E3-E511-827A-6451063D545C,1324068794  ,1324068794,yuliyamakeup,181,6084,5823,0,1,0,0
75E095A1-15E3-E511-827A-6451063D545C,1375286657  ,1375286657,krivtsun_elena,348,360,142,0,0,0,1
9EC1A4A1-15E3-E511-827A-6451063D545C,1378603977  ,1378603977,designmira,229,5298,7168,0,1,0,0
2CD39FA7-15E3-E511-827A-6451063D545C,145903084   ,145903084,kseniakapitonova,55,3401,7329,0,1,0,0
335DA4A7-15E3-E511-827A-6451063D545C,1460686034  ,1460686034,konstryctiv.ru,176,3017,7447,0,1,0,0
9CE724A9-15E3-E511-827A-6451063D545C,1484475808  ,1484475808,friendstour,399,1103,5461,0,1,0,0
949D7DA9-15E3-E511-827A-6451063D545C,1497205174  ,1497205174,papa_karlo_33,63,12529,2551,0,1,0,0
5E0C9AAA-15E3-E511-827A-6451063D545C,1506200705  ,1506200705,mytaganka,474,850,2688,0,1,0,0
9B1296AD-15E3-E511-827A-6451063D545C,1552058475  ,1552058475,babulenciya,52,45,86,0,0,0,1
