user_id,load_video,pause_video,play_video,seek_video,speed_change_video,stop_video
0,2.0,1.0,4.0,1.0,0.0,1.0
1,6.0,14.0,14.0,0.0,0.0,1.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,2.0,2.0,2.0,0.0,0.0,1.0
4,1.0,3.0,22.0,18.0,0.0,0.0
5,4.0,1.0,5.0,9.0,0.0,1.0
6,1.0,5.0,9.0,6.0,1.0,1.0
7,2.0,1.0,18.0,16.0,0.0,0.0
8,3.0,7.0,9.0,2.0,0.0,1.0
9,1.0,1.0,1.0,0.0,0.0,0.0
10,1.0,32.0,33.0,1.0,0.0,1.0
11,1.0,0.0,1.0,0.0,0.0,1.0
12,2.0,0.0,0.0,0.0,0.0,0.0
13,8.0,18.0,23.0,13.0,0.0,6.0
14,4.0,0.0,0.0,1.0,0.0,0.0
15,4.0,0.0,6.0,10.0,0.0,1.0
16,3.0,0.0,0.0,0.0,0.0,0.0
17,6.0,10.0,16.0,4.0,0.0,3.0
18,5.0,1.0,2.0,0.0,0.0,1.0
19,1.0,1.0,106.0,1.0,0.0,1.0
20,2.0,0.0,5.0,7.0,0.0,3.0
21,4.0,0.0,0.0,0.0,0.0,0.0
22,1.0,2.0,5.0,1.0,0.0,2.0
23,1.0,0.0,1.0,16.0,0.0,0.0
24,3.0,44.0,45.0,0.0,0.0,1.0
25,2.0,2.0,14.0,11.0,0.0,0.0
26,3.0,7.0,8.0,0.0,0.0,1.0
27,1.0,9.0,11.0,1.0,0.0,1.0
28,2.0,0.0,1.0,0.0,0.0,1.0
29,1.0,4.0,11.0,6.0,4.0,1.0
30,1.0,0.0,33.0,32.0,0.0,1.0
31,1.0,7.0,19.0,21.0,0.0,1.0
32,1.0,3.0,5.0,1.0,0.0,1.0
33,1.0,5.0,6.0,0.0,0.0,1.0
34,3.0,3.0,37.0,33.0,0.0,1.0
35,6.0,8.0,44.0,32.0,0.0,3.0
36,1.0,0.0,1.0,0.0,2.0,1.0
37,7.0,9.0,15.0,1.0,0.0,1.0
38,1.0,0.0,8.0,7.0,0.0,0.0
39,1.0,2.0,4.0,0.0,0.0,1.0
40,1.0,2.0,3.0,0.0,0.0,1.0
41,3.0,0.0,4.0,2.0,0.0,0.0
42,1.0,1.0,3.0,2.0,0.0,1.0
43,1.0,6.0,10.0,2.0,0.0,3.0
44,1.0,17.0,23.0,7.0,1.0,1.0
45,1.0,0.0,6.0,5.0,0.0,1.0
46,6.0,10.0,21.0,45.0,0.0,1.0
47,1.0,3.0,3.0,0.0,0.0,1.0
48,1.0,0.0,12.0,11.0,0.0,0.0
49,1.0,1.0,3.0,1.0,1.0,1.0
50,1.0,1.0,2.0,0.0,0.0,0.0
51,3.0,3.0,6.0,3.0,0.0,1.0
52,3.0,2.0,2.0,0.0,0.0,1.0
53,1.0,1.0,1.0,0.0,0.0,1.0
54,2.0,1.0,2.0,0.0,0.0,1.0
55,2.0,2.0,3.0,0.0,0.0,1.0
56,9.0,2.0,2.0,0.0,0.0,0.0
57,2.0,2.0,24.0,20.0,0.0,1.0
58,1.0,2.0,5.0,2.0,1.0,1.0
59,5.0,0.0,0.0,0.0,0.0,0.0
60,2.0,0.0,1.0,0.0,0.0,0.0
61,14.0,40.0,54.0,25.0,0.0,0.0
62,3.0,13.0,14.0,0.0,5.0,1.0
63,1.0,1.0,2.0,0.0,0.0,1.0
64,5.0,14.0,25.0,18.0,0.0,1.0
65,2.0,2.0,12.0,9.0,0.0,0.0
66,1.0,30.0,2.0,15.0,0.0,1.0
67,3.0,3.0,4.0,0.0,0.0,1.0
68,5.0,6.0,21.0,17.0,0.0,2.0
69,2.0,1.0,3.0,2.0,0.0,1.0
70,2.0,1.0,1.0,0.0,0.0,0.0
71,1.0,0.0,5.0,4.0,0.0,0.0
72,1.0,0.0,1.0,0.0,0.0,0.0
73,1.0,1.0,4.0,2.0,0.0,1.0
74,1.0,1.0,6.0,4.0,0.0,1.0
75,2.0,6.0,6.0,0.0,0.0,1.0
76,2.0,5.0,6.0,3.0,0.0,1.0
77,5.0,12.0,19.0,1.0,0.0,1.0
78,4.0,7.0,17.0,9.0,2.0,1.0
79,4.0,4.0,4.0,0.0,0.0,1.0
