client_id,DIR,Age,NumLoans,NumRealEstateLoans,NumDependents,Num30-59Delinquencies,Num60-89Delinquencies,Income,BalanceToCreditLimit,Delinquent90
0,0.496289,49.1,13,0,0.0,2,0,5298.360639,0.387028,0
1,0.433567,48.0,9,2,2.0,1,0,6008.056256,0.234679,0
2,2206.731199,55.5,21,1,,1,0,,0.348227,0
3,886.132793,55.3,3,0,0.0,0,0,,0.97193,0
4,0.0,52.3,1,0,0.0,0,0,2504.613105,1.00435,0
5,0.121965,73.5,18,1,1.0,0,0,15634.752299,0.004951,0
6,0.461193,71.3,9,0,0.0,0,0,3562.767475,0.039618,0
7,2.624982,46.3,6,0,0.0,0,0,2205.38698,0.846364,0
8,0.074518,28.1,10,0,0.0,0,0,5021.722284,0.048213,0
9,0.266679,31.3,6,0,0.0,0,0,4005.890242,0.366262,0
10,2251.011841,42.3,10,2,1.0,0,0,,0.428382,0
11,0.217289,61.5,4,3,1.0,0,0,19216.334246,0.059969,0
12,0.2698,64.3,18,1,2.0,0,0,15061.491687,0.086075,0
13,0.10732,42.2,4,0,2.0,1,1,11057.103144,1.127067,0
14,0.171242,37.2,3,0,0.0,0,0,3406.329767,0.282846,0
15,0.196567,61.0,5,1,0.0,1,1,7897.077291,0.542081,0
16,0.662566,53.4,5,1,0.0,2,2,3021.268915,1.001634,0
17,0.213591,40.3,16,2,0.0,0,0,9038.509221,0.122221,0
18,742.195439,47.3,6,1,2.0,0,0,,0.0,0
19,302.372758,77.3,7,0,0.0,0,0,,0.038134,0
20,0.249482,44.4,9,0,2.0,2,0,5024.632437,0.46385,0
21,0.000134,80.2,4,0,0.0,0,0,7514.443826,0.001621,0
22,0.11822,74.2,11,2,0.0,0,0,9056.24684,0.04225,0
23,0.213262,26.1,10,0,2.0,0,0,6736.71884,1.326409,0
24,0.201018,54.5,5,1,2.0,0,0,16265.935203,0.689863,0
25,0.227512,56.3,13,2,2.0,0,0,19194.966544,0.012659,0
26,0.22489,63.1,10,1,0.0,0,0,7476.628586,0.00697,0
27,0.330406,56.1,22,2,1.0,0,0,10354.191917,0.048915,0
28,0.42656,50.4,9,1,0.0,0,0,9157.099205,0.506212,0
29,0.286639,48.2,12,2,2.0,0,0,6454.92817,0.035394,0
30,0.004008,24.1,4,0,0.0,0,0,2016.107327,1.002435,0
31,0.26504,29.2,5,1,0.0,0,1,2344.537129,0.118327,0
32,0.038923,72.7,1,0,0.0,0,0,1636.136417,0.142227,0
33,0.229227,34.2,5,0,3.0,0,0,4365.787145,0.614501,0
