hostel,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,rating
hostel1,0.675,0.1,0.3,0.875,0.25,0.425,0.35,0.725,0.4,0.275,9.0
hostel2,0.5,0.0,0.058823529411764705,0.5735294117647058,0.11764705882352941,0.38235294117647056,0.0,0.16176470588235295,0.3088235294117647,0.0,8.3
hostel3,0.5208333333333334,0.041666666666666664,0.020833333333333332,0.6666666666666666,0.22916666666666666,0.4375,0.2708333333333333,0.25,0.3958333333333333,0.2708333333333333,8.6
hostel4,0.6923076923076923,0.038461538461538464,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.3076923076923077,0.5,0.11538461538461539,0.15384615384615385,0.2692307692307692,7.6
hostel5,0.6206896551724138,0.0,0.0,0.5172413793103449,0.1724137931034483,0.3448275862068966,0.1724137931034483,0.3793103448275862,0.10344827586206896,0.3103448275862069,8.7
hostel6,0.9736842105263158,0.05263157894736842,0.07894736842105263,0.5526315789473685,0.21052631578947367,0.47368421052631576,0.3157894736842105,0.6842105263157895,0.10526315789473684,0.2631578947368421,9.4
hostel7,0.6438356164383562,0.0136986301369863,0.0136986301369863,0.6712328767123288,0.1780821917808219,0.136986301369863,0.1917808219178082,0.4931506849315068,0.1917808219178082,0.0,8.4
hostel8,0.3090909090909091,0.16363636363636364,0.14545454545454545,0.5454545454545454,0.21818181818181817,0.34545454545454546,0.2,0.45454545454545453,0.36363636363636365,0.2545454545454545,7.0
hostel9,0.6666666666666666,0.018518518518518517,0.037037037037037035,0.5,0.18518518518518517,0.3333333333333333,0.25925925925925924,0.37037037037037035,0.0,0.3333333333333333,8.9
hostel10,0.5,0.0,0.0,0.6162790697674418,0.36046511627906974,0.3372093023255814,0.10465116279069768,0.2558139534883721,0.11627906976744186,0.023255813953488372,8.3
hostel11,0.6896551724137931,0.0,0.017241379310344827,0.6379310344827587,0.22413793103448276,0.1206896551724138,0.0,0.034482758620689655,0.3103448275862069,0.034482758620689655,7.0
hostel12,0.22,0.16,0.12,0.28,0.08,0.26,0.12,0.22,0.26,0.14,8.0
hostel13,0.5897435897435898,0.02564102564102564,0.0,0.5641025641025641,0.23076923076923078,0.1794871794871795,0.0,0.4358974358974359,0.23076923076923078,0.0,8.0
hostel14,0.7105263157894737,0.02631578947368421,0.0,0.5263157894736842,0.18421052631578946,0.39473684210526316,0.18421052631578946,0.5789473684210527,0.18421052631578946,0.3684210526315789,9.0
hostel15,0.631578947368421,0.0,0.05263157894736842,0.8421052631578947,0.42105263157894735,0.6842105263157895,0.0,0.5789473684210527,0.2631578947368421,0.42105263157894735,7.0
hostel16,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.9,0.2,0.8,0.3,0.8,0.1,0.0,8.1
hostel17,0.7,0.02,0.04,0.28,0.12,0.42,0.02,0.58,0.12,0.12,9.5
hostel18,0.4482758620689655,0.1206896551724138,0.034482758620689655,0.3275862068965517,0.1206896551724138,0.603448275862069,0.22413793103448276,0.15517241379310345,0.1896551724137931,0.13793103448275862,8.9
