timestamp,site
2013-03-12 08:52:24,www.google.com
2013-03-12 08:52:24,clients1.google.com
2013-03-12 08:52:26,www.google.com
2013-03-12 08:52:26,clients1.google.com
2013-03-12 08:52:27,www.google.com
2013-03-12 08:52:30,www.google.com
2013-03-12 08:52:31,fr.openclassrooms.com
2013-03-12 08:52:31,www.google.com
2013-03-12 08:52:32,fr.openclassrooms.com
2013-03-12 08:52:33,dnn506yrbagrg.cloudfront.net
2013-03-12 08:52:33,gtglobal-ocsp.geotrust.com
2013-03-12 08:52:33,www.google.com
2013-03-12 08:52:33,clients1.google.com
2013-03-12 08:52:33,fr.openclassrooms.com
2013-03-12 08:52:34,fr.openclassrooms.com
2013-03-12 08:52:35,fr.openclassrooms.com
2013-03-12 08:52:37,fr.openclassrooms.com
2013-03-12 08:53:27,clients1.google.com
2013-03-12 08:53:28,clients1.google.com
2013-03-12 08:53:29,clients1.google.com
2013-03-12 08:53:30,clients1.google.com
2013-03-12 08:53:38,www.google.com
2013-03-12 08:53:38,clients1.google.com
2013-03-12 08:53:45,caml.inria.fr
2013-03-12 08:53:45,www.google.com
2013-03-12 08:53:48,caml.inria.fr
2013-03-12 08:53:53,safebrowsing.clients.google.com
2013-03-12 08:54:58,safebrowsing-cache.google.com
2013-03-12 08:56:06,safebrowsing-cache.google.com
2013-03-12 08:56:07,safebrowsing-cache.google.com
2013-03-12 08:56:33,www.googleapis.com
2013-03-12 08:56:34,accounts.google.com
2013-03-12 09:18:24,www.google.com
2013-03-12 09:18:24,clients1.google.com
2013-03-12 09:19:19,www.google.com
2013-03-12 09:19:20,www.scons.org
2013-03-12 09:19:51,clients1.google.com
2013-03-12 09:19:52,clients1.google.com
2013-03-12 09:19:52,www.google.com
2013-03-12 09:19:54,www.scons.org
2013-03-12 09:19:54,www.google.com
2013-03-12 09:19:55,www.scons.org
2013-03-12 09:24:39,safebrowsing.clients.google.com
2013-03-12 09:24:39,safebrowsing-cache.google.com
2013-03-12 09:37:16,fxfeeds.mozilla.com
2013-03-12 09:37:16,newsrss.bbc.co.uk
2013-03-12 09:37:16,feeds.bbci.co.uk
2014-02-13 08:09:40,ocsp.thawte.com
2014-02-13 08:09:45,gtglobal-ocsp.geotrust.com
2014-02-13 08:09:45,clients1.google.com
2014-02-13 08:09:47,clients1.google.com
2014-02-13 08:09:52,www.google.fr
2014-02-13 08:09:57,www.cs.waikato.ac.nz
2014-02-13 08:09:58,www.cs.waikato.ac.nz
2014-02-13 08:09:59,www.cs.waikato.ac.nz
2014-02-13 08:10:04,www.cs.waikato.ac.nz
2014-02-13 08:10:32,a.fsdn.com
2014-02-13 08:10:32,sourceforge.net
2014-02-13 08:10:35,a.fsdn.com
2014-02-13 08:10:35,consent-st.truste.com
2014-02-13 08:10:35,images.sourceforge.net
2014-02-13 08:10:39,a.fsdn.com
2014-02-13 08:10:39,consent-st.truste.com
2014-02-13 08:10:39,sourceforge.net
2014-02-13 08:10:43,consent-st.truste.com
2014-02-13 08:10:43,a.fsdn.com
2014-02-13 08:10:45,consent-st.truste.com
2014-02-13 08:10:46,d.startpagea.com
2014-02-13 08:10:46,ajax.googleapis.com
2014-02-13 08:10:50,ajax.googleapis.com
2014-02-13 08:10:57,netcologne.dl.sourceforge.net
2014-02-13 08:11:02,d.startpagea.com
2014-02-13 08:11:40,consent-st.truste.com
2014-02-13 08:11:40,a.fsdn.com
2014-02-13 08:11:40,sourceforge.net
2014-02-13 08:11:40,d3f8ykwhia686p.cloudfront.net
2014-02-13 08:11:41,ajax.googleapis.com
2014-02-13 08:12:42,apis.google.com
2014-02-13 08:12:43,www.google.fr
2014-02-13 08:12:43,www.google.com
2014-02-13 08:12:58,safebrowsing-cache.google.com
2014-02-13 08:12:58,safebrowsing.clients.google.com
2014-02-13 08:12:59,safebrowsing-cache.google.com
2014-02-13 08:18:42,www.google.fr
2014-02-13 08:18:43,bits.wikimedia.org
2014-02-13 08:18:43,fr.wikipedia.org
2014-02-13 08:18:44,fr.wikipedia.org
2014-02-13 08:18:44,meta.wikimedia.org
2014-02-13 08:18:44,bits.wikimedia.org
2014-02-13 08:18:44,login.wikimedia.org
2014-02-13 08:18:57,bits.wikimedia.org
2014-02-13 08:18:57,fr.wikipedia.org
2014-02-13 08:19:01,meta.wikimedia.org
2014-02-13 08:19:02,fr.wikipedia.org
2014-02-13 08:19:02,meta.wikimedia.org
2014-02-13 08:19:12,fr.wikipedia.org
2014-02-13 08:19:30,fr.wikipedia.org
2014-02-13 08:19:30,bits.wikimedia.org
2014-02-13 08:19:31,meta.wikimedia.org
2014-02-13 08:21:03,www.google.com
2014-02-13 08:21:05,www.google.fr
2014-02-13 08:33:46,www.google.com
2014-02-13 08:33:52,www.google.fr
2014-02-13 08:33:52,vim.wikia.com
2014-02-13 08:33:52,static3.wikia.nocookie.net
2014-02-13 08:33:52,slot1.images.wikia.nocookie.net
2014-02-13 08:33:52,slot1.images2.wikia.nocookie.net
2014-02-13 08:33:52,slot1.images4.wikia.nocookie.net
2014-02-13 08:33:53,ajax.googleapis.com
2014-02-13 08:33:53,slot1.images2.wikia.nocookie.net
2014-02-13 08:33:53,slot1.images.wikia.nocookie.net
2014-02-13 08:33:53,images1.wikia.nocookie.net
2014-02-13 08:33:54,static2.wikia.nocookie.net
2014-02-13 08:33:54,static1.wikia.nocookie.net
2014-02-13 08:33:54,slot1.images1.wikia.nocookie.net
2014-02-13 08:33:54,static4.wikia.nocookie.net
2014-02-13 08:33:54,slot1.images.wikia.nocookie.net
2014-02-13 08:33:54,slot1.images3.wikia.nocookie.net
2014-02-13 08:33:54,slot1.images4.wikia.nocookie.net
2014-02-13 08:33:54,vim.wikia.com
2014-02-13 08:33:54,slot1.images2.wikia.nocookie.net
2014-02-13 08:33:55,vim.wikia.com
2014-02-13 08:33:55,www.google.com
2014-02-13 08:33:55,clients1.google.com
2014-02-13 08:33:56,liftium.wikia.com
2014-02-13 08:33:56,vim.wikia.com
2014-02-13 08:33:57,vim.wikia.com
2014-02-13 08:33:58,vim.wikia.com
2014-02-13 08:34:01,tag.yakarouler.com
2014-02-13 08:34:01,vim.wikia.com
2014-02-13 08:34:01,www.facebook.com
2014-02-13 08:34:01,banniere.reussissonsensemble.fr
2014-02-13 08:34:01,c1.adform.net
2014-02-13 08:34:02,gtssl-ocsp.geotrust.com
2014-02-13 08:34:03,www.google.com
2014-02-13 08:34:03,www.google.fr
2014-02-13 08:34:04,api.choicestream.com
2014-02-13 08:34:14,vim.wikia.com
2014-02-13 08:36:45,www.google.com
2014-02-13 08:36:47,www.google.fr
2014-02-13 08:44:52,safebrowsing-cache.google.com
2014-02-13 08:44:52,safebrowsing.clients.google.com
2014-02-13 08:53:26,www.google.fr
2014-02-13 08:53:26,storm.cis.fordham.edu
2014-02-13 08:53:27,storm.cis.fordham.edu
2014-02-13 08:55:56,www.google.com
2014-02-13 08:56:12,www.google.fr
2014-02-13 09:13:21,safebrowsing.clients.google.com
2014-02-13 09:13:21,safebrowsing-cache.google.com
2014-02-13 09:13:22,safebrowsing-cache.google.com
2014-02-13 09:44:06,safebrowsing.clients.google.com
2014-02-13 09:44:06,safebrowsing-cache.google.com
2014-03-04 09:46:10,gtglobal-ocsp.geotrust.com
2014-03-04 09:46:10,ocsp.thawte.com
2014-03-04 09:46:10,clients1.google.com
2014-03-04 09:46:25,ocsp.usertrust.com
2014-03-04 09:46:25,ocsp.tcs.terena.org
2014-03-04 09:46:25,clients1.google.com
2014-03-04 09:47:51,sb-ssl.google.com
2014-03-04 13:41:20,api.bing.com
2014-03-04 13:41:32,mail.google.com
2014-03-04 13:41:32,gmail.com
2014-03-04 13:41:38,accounts.google.com
2014-03-04 13:41:40,accounts.youtube.com
2014-03-04 13:41:54,fpdownload2.macromedia.com
2014-03-04 13:41:54,mail.google.com
2014-03-04 13:42:14,accounts.google.fr
2014-03-04 13:42:20,accounts.google.com
