id,dep_delayed_15min
0,0.032864273
1,0.06936848
2,0.037770554
3,0.21133883
4,0.25027654
5,0.102469504
6,0.0502552
7,0.21102151
8,0.12933134
9,0.30895117
10,0.22774084
11,0.23786706
12,0.10534241
13,0.1599439
14,0.05357674
15,0.25987685
16,0.071821794
17,0.31566212
18,0.50141287
19,0.0118272
20,0.26141602
21,0.04226187
22,0.37026367
23,0.121140145
24,0.25790608
25,0.2983948
26,0.011026095
27,0.035950396
28,0.29212043
29,0.14215116
30,0.21113825
31,0.3797388
32,0.012545884
33,0.30865344
34,0.4541645
35,0.29099983
36,0.17421487
37,0.18569718
38,0.076185636
39,0.23878066
40,0.1583347
41,0.19066204
42,0.22645722
43,0.29218307
44,0.14498456
45,0.39309222
46,0.003069821
47,0.21501498
48,0.49968916
49,0.092258416
50,0.40509787
51,0.054031998
52,0.08214766
53,0.3989069
54,0.2570068
55,0.11368016
56,0.23047106
57,0.33366036
58,0.06610689
59,0.29647335
60,0.21382383
61,0.112932816
62,0.20210396
63,0.28791416
64,0.21806091
65,0.13706398
66,0.019167712
67,0.15359107
68,0.17957065
69,0.20695435
70,0.02680241
71,0.16833633
72,0.27324998
73,0.20893054
74,0.44534522
75,0.24098411
76,0.09997768
77,0.13939983
78,0.04991919
79,0.1479522
80,0.18369107
81,0.1672164
82,0.10531925
83,0.14889671
84,0.10585923
85,0.008867721
86,0.11082975
87,0.22709145
88,0.19136617
89,0.1750235
90,0.19449288
91,0.27492782
92,0.23055963
93,0.18421009
94,0.17765954
95,0.14207731
96,0.3293759
97,0.44278294
98,0.16097553
99,0.27327633
100,0.12519872
101,0.18950114
102,0.06836058
103,0.2031295
104,0.009468511
105,0.07269455
106,0.25291386
107,0.054651238
108,0.15886198
109,0.19208741
110,0.18730104
111,0.2098681
112,0.5170013
113,0.02631528
114,0.017695084
115,0.1244739
116,0.10417202
117,0.44150588
118,0.052840076
119,0.12908044
120,0.30905885
121,0.3035819
122,0.23017102
123,0.16531529
124,0.19878659
125,0.052122995
126,0.083986975
127,0.025767269
128,0.066795014
129,0.41978958
130,0.43947256
131,0.18849702
132,0.0335385
133,0.16494012
134,0.046502624
135,0.3250152
136,0.21839368
137,0.09016042
138,0.017016206
139,0.10945175
140,0.3228372
141,0.15770319
142,0.29835358
143,0.25501874
144,0.13067783
145,0.2581955
146,0.18117642
147,0.2523374
148,0.08328928
149,0.4008204
150,0.38147196
151,0.28419283
152,0.14064904
153,0.118404284
154,0.15336159
155,0.15176506
156,0.2254148
157,0.23528019
158,0.33577013
159,0.03473995
160,0.086389504
161,0.31196836
162,0.41678706
163,0.09317101
164,0.16665293
165,0.15252168
166,0.17739235
167,0.010460316
168,0.12514105
169,0.26575297
170,0.207133
171,0.18882182
172,0.12551197
173,0.19152209
174,0.35434052
175,0.23379155
176,0.11055053
177,0.007917143
178,0.23027928
179,0.1633235
180,0.029157458
181,0.12410893
182,0.26107338
183,0.47948647
184,0.21022101
185,0.31433085
186,0.30185646
187,0.35441676
188,0.29028687
189,0.33639565
190,0.35227394
191,0.33344194
192,0.12469269
193,0.17582075
194,0.16560157
195,0.11328016
196,0.09804474
197,0.12788133
198,0.33243746
199,0.20220286
200,0.18930891
201,0.2748114
202,0.3148158
203,0.014328455
204,0.024320662
205,0.2420159
206,0.50082004
207,0.014872744
208,0.17136873
209,0.205056
210,0.040873136
211,0.06776949
212,0.2273631
213,0.23699172
214,0.168569
215,0.17518389
216,0.022718614
217,0.16275682
218,0.16408451
219,0.13769019
220,0.21369517
221,0.2394224
222,0.40059724
223,0.13816264
224,0.28660256
225,0.110200405
226,0.2803892
227,0.2938799
228,0.30659
229,0.46015596
230,0.021122802
231,0.1568099
232,0.15214865
233,0.45088553
234,0.13782477
235,0.09974603
236,0.008335021
237,0.26708907
238,0.15273257
239,0.10879707
240,0.10528959
241,0.27929494
242,0.13234125
243,0.13929217
244,0.21411903
245,0.30266425
246,0.3450807
247,0.52940947
248,0.510946
249,0.26858783
250,0.19380781
251,0.03610336
252,0.07732617
253,0.13412507
254,0.37690413
255,0.15638264
256,0.11849243
257,0.028370606
258,0.24055381
259,0.014842167
260,0.26787066
261,0.09176571
262,0.40060088
263,0.18330108
264,0.114626884
265,0.2443627
266,0.19591266
267,0.15438439
268,0.24633282
269,0.34173787
270,0.048983872
271,0.1810507
272,0.23272954
273,0.033730593
274,0.32888
275,0.113745764
276,0.026087549
277,0.22323875
278,0.10297066
279,0.30900386
280,0.17170037
281,0.35768247
282,0.12055713
283,0.042807605
284,0.24835257
285,0.21835284
286,0.13657609
287,0.108626574
288,0.21526399
289,0.047047336
290,0.123045586
291,0.15731335
292,0.36102754
293,0.2146955
294,0.35902873
295,0.027961265
296,0.008785506
297,0.19290411
298,0.13802047
299,0.043091714
300,0.21861032
301,0.2579258
302,0.16014181
303,0.23609765
304,0.21997944
305,0.36955783
306,0.12981099
307,0.07820685
308,0.2263551
309,0.22063927
310,0.38390443
311,0.2551881
312,0.032441434
313,0.34002542
314,0.18741427
315,0.12666506
316,0.13772699
317,0.16762349
318,0.28820133
319,0.19475657
320,0.15750913
321,0.0652205
322,0.11706191
323,0.17320272
324,0.12874039
325,0.3633169
326,0.021195222
327,0.16875143
328,0.024855882
329,0.23337924
330,0.19747415
331,0.50608313
332,0.19223996
333,0.117931806
334,0.3371807
335,0.34594548
336,0.2009306
337,0.07445101
338,0.22159055
339,0.06063782
340,0.134905
341,0.3689341
342,0.12015146
343,0.23315087
344,0.36279902
345,0.4838172
346,0.07407842
347,0.24176809
348,0.13934119
349,0.17293721
350,0.20544675
351,0.11515147
352,0.32658854
353,0.25331563
354,0.16871126
355,0.31626445
356,0.039988536
357,0.0948267
358,0.1850618
359,0.1932313
360,0.17786825
361,0.035628702
362,0.041940726
363,0.23654373
364,0.0324974
365,0.3440066
366,0.52483803
367,0.19559987
368,0.26923
369,0.16548407
370,0.11768428
371,0.20010106
372,0.30852747
373,0.190123
374,0.34901968
375,0.055184852
376,0.29925945
377,0.47369778
378,0.22116661
379,0.12268261
380,0.37735942
381,0.2603369
382,0.040902358
383,0.19088012
384,0.11552601
385,0.1807587
386,0.14122808
387,0.03689103
388,0.13613544
389,0.037250843
390,0.28474203
391,0.0771448
392,0.19035047
393,0.012651249
394,0.2516305
395,0.2536556
396,0.009116354
397,0.029223561
398,0.039410666
399,0.06411244
400,0.22177488
401,0.09952943
402,0.120281376
403,0.009235971
404,0.057310935
405,0.052376334
406,0.39329353
407,0.14315431
408,0.32891738
409,0.2663175
410,0.1605006
411,0.004929733
412,0.2953877
413,0.17254844
414,0.49702033
415,0.11479708
416,0.3146035
417,0.15941128
418,0.23690985
419,0.5017123
420,0.20030321
421,0.0651895
422,0.034049544
423,0.05225461
424,0.3209769
425,0.16272968
426,0.17519006
427,0.31518713
428,0.2146967
429,0.2615087
430,0.34673578
431,0.088865526
432,0.021509666
433,0.10456442
434,0.18149026
435,0.14215684
436,0.2563362
437,0.59242433
438,0.2568697
439,0.2891377
440,0.104829066
441,0.1517043
442,0.19574301
443,0.25779903
444,0.28282148
445,0.05546622
446,0.237206
447,0.093342565
448,0.094123535
449,0.344194
450,0.46259353
451,0.2219565
452,0.1899953
453,0.0087363655
454,0.048391595
455,0.076340176
456,0.36344433
457,0.10131783
458,0.17817785
459,0.15615682
460,0.06910865
461,0.03331948
462,0.090305
463,0.16745543
464,0.23478803
465,0.16297327
466,0.20141733
467,0.08007884
468,0.14097366
469,0.043602083
470,0.0070209247
471,0.17414999
472,0.24075922
473,0.38581753
474,0.28249034
475,0.17067517
476,0.05526387
477,0.16461034
478,0.27768597
479,0.33368263
480,0.13456675
481,0.20547071
482,0.19414431
483,0.128151
484,0.22390342
485,0.13129216
486,0.2048418
487,0.34647706
488,0.061088968
489,0.19792573
490,0.3114364
491,0.6190978
492,0.2925136
493,0.13084385
494,0.25267014
495,0.3336661
496,0.26533747
497,0.020594856
498,0.082972325
499,0.23886652
500,0.4173935
501,0.11968472
502,0.18342395
503,0.17884068
504,0.31619722
505,0.30493066
506,0.41313168
507,0.14333719
508,0.11732889
509,0.19136044
510,0.10885382
511,0.3192216
512,0.6580012
513,0.085054524
514,0.077226095
515,0.2499566
516,0.102972485
517,0.2599504
518,0.15329117
519,0.12848571
520,0.040838413
521,0.38256073
522,0.16228543
523,0.51056623
524,0.14732112
525,0.17737904
526,0.09114902
527,0.010618307
528,0.28426966
529,0.026305342
530,0.14464869
531,0.20219287
532,0.1511388
533,0.23622842
534,0.26009625
535,0.3294472
536,0.19261965
537,0.25198364
538,0.24521893
539,0.24183555
540,0.31324658
541,0.3527166
542,0.44083145
543,0.51687235
544,0.10554345
545,0.30937064
546,0.03347738
547,0.28216374
548,0.15982088
549,0.40696412
550,0.49171883
551,0.1399728
552,0.10883281
553,0.2651049
554,0.081245035
555,0.25916025
556,0.015001157
557,0.063509114
558,0.18287054
559,0.058922693
560,0.15698604
561,0.104947396
562,0.3462102
563,0.22732837
564,0.058110714
565,0.28070077
566,0.043862004
567,0.28293243
568,0.18484911
569,0.03102804
570,0.32970124
571,0.03581542
572,0.2174063
573,0.328695
574,0.13336043
575,0.029790116
576,0.010699556
577,0.08040303
578,0.07756251
579,0.4201478
580,0.09470603
581,0.43225998
582,0.31936923
583,0.2645127
584,0.32474396
585,0.25133538
586,0.24117891
587,0.23869365
588,0.26888365
589,0.40924925
590,0.32839832
591,0.14408319
592,0.19203748
593,0.062381063
594,0.07563743
595,0.30584794
596,0.13775761
597,0.23714814
598,0.23933999
599,0.26595247
600,0.02701454
601,0.107233934
602,0.5092975
603,0.073891975
604,0.021304507
605,0.26525757
606,0.04090799
607,0.055647124
608,0.36528304
609,0.28756726
610,0.42131883
611,0.026233736
612,0.14376986
613,0.19150303
614,0.085314505
615,0.22049224
616,0.10537595
617,0.10582922
618,0.27050272
619,0.15392943
620,0.36013022
621,0.41775462
622,0.02199339
623,0.03083466
624,0.0064527625
625,0.20754273
626,0.2509869
627,0.4827796
628,0.38093045
629,0.07577357
630,0.2975154
631,0.11247604
632,0.136337
633,0.07835294
634,0.23164995
635,0.24626166
636,0.26141277
637,0.04429299
638,0.30625278
639,0.059618764
640,0.048577193
641,0.34375355
642,0.17390242
643,0.22803567
644,0.34349516
645,0.43474373
646,0.42113546
647,0.15381457
648,0.04143071
649,0.004606204
650,0.115458615
651,0.08359251
652,0.23044208
653,0.18585011
654,0.19832857
655,0.2413304
656,0.126425
657,0.12282918
658,0.29220697
659,0.08732065
660,0.052909803
661,0.21424222
662,0.23168772
663,0.17706975
664,0.3221469
665,0.10520189
666,0.24738827
667,0.030924775
668,0.12734342
669,0.29251647
670,0.08190187
671,0.26419127
672,0.37546858
673,0.58387417
674,0.031795103
675,0.34394088
676,0.23863363
677,0.48654082
678,0.19412525
679,0.12292058
680,0.082488
681,0.094749495
682,0.32279697
683,0.058518585
684,0.06062993
685,0.27238443
686,0.26539785
687,0.06237861
688,0.5083644
689,0.15681553
690,0.40594244
691,0.06876918
